HA,nVerid,Subj
15.8699886891684,5,1
-0.231892496134375,5,2
17.1149800062179,5,3
22.069983843344,5,4
8.90166107450748,5,5
17.5166190024721,5,6
4.39703762131986,5,7
19.2809043132435,5,8
16.432400260133,5,9
5.39354038307652,5,10
20.2705900691169,5,11
17.5670333099999,5,12
26.4450766415805,5,13
15.0389879181563,5,14
23.3604880999325,5,15
12.0980627869218,5,16
22.0147217205842,5,17
5.00826284835907,5,18
26.2552884922566,5,19
15.554948612208,5,20
14.839446948049,5,21
2.24985737537618,5,22
14.2691302832581,5,23
3.29463525413335,5,24
14.4638436668847,5,25
16.7001714842194,5,26
11.9353242198566,5,27
6.67840689805236,5,28
17.354664202257,5,29
13.5415588542254,5,30
13.6433368788392,5,31
15.3501722174193,5,32
14.3398696735011,5,33
21.4546342381298,5,34
1.13542487881477,5,35
22.8556695981026,5,36
17.5499158847628,5,37
3.81525530922341,5,38
10.795813781113,5,39
12.6101754435369,5,40
17.8101445320003,5,41
23.8087616382232,5,42
3.97858898459415,5,43
18.8325067192005,5,44
0.788217729121654,5,45
22.847086035481,5,46
15.1088749586475,5,47
14.4319742916982,5,48
11.5039162160726,5,49
12.7711832531227,5,50
14.9336008152102,5,51
10.5142463353362,5,52
14.8909422684065,5,53
22.7635280103648,5,54
12.3809619956345,5,55
7.38223059528676,5,56
1.5030646751951,5,57
11.424627747578,5,58
6.30612459159012,5,59
15.027556748505,5,60
22.6689408070596,45,1
-1.21187996881337,45,2
22.5372158025209,45,3
19.7901025670483,45,4
11.9477796446587,45,5
16.1630122498486,45,6
6.48518921376836,45,7
25.2586951123843,45,8
23.2463019955318,45,9
9.18744748833253,45,10
19.012646723666,45,11
12.5431185157898,45,12
20.1942749178559,45,13
12.9600926021191,45,14
23.1424738663264,45,15
9.43880651777845,45,16
31.9513962775334,45,17
0.950757274968594,45,18
21.4655471963284,45,19
15.5837931061222,45,20
12.0332200984963,45,21
0.793752628000579,45,22
5.33218831917132,45,23
25.834531194068,45,24
7.08813493154615,45,25
18.7713385353507,45,26
17.3335883477478,45,27
12.4919647748241,45,28
18.4148735765625,45,29
3.8655143095028,45,30
13.075408982151,45,31
13.6614879692877,45,32
16.6966684406292,45,33
14.8269257337044,45,34
-2.3980999009668,45,35
11.1464166911629,45,36
14.3458130512936,45,37
-4.59437605287309,45,38
4.70717851067447,45,39
10.8084273027935,45,40
13.4876926571945,45,41
16.0628027445221,45,42
12.580210999749,45,43
10.0234295852121,45,44
-10.708196605074,45,45
19.6079277838498,45,46
3.65955244304743,45,47
28.7998621292311,45,48
16.700739873168,45,49
12.5424327286917,45,50
32.7206365491605,45,51
11.588354444179,45,52
13.3801220084045,45,53
20.8053904468183,45,54
6.78125586785751,45,55
10.1040771277386,45,56
1.9030367800343,45,57
16.1321926700126,45,58
-10.6231539545971,45,59
9.80776782702809,45,60
12.5030370512119,85,1
2.39786127766045,85,2
22.719013832517,85,3
18.3937825279775,85,4
14.8591030368768,85,5
15.9577857964216,85,6
3.23065754743515,85,7
14.4403264395508,85,8
22.2484703084579,85,9
5.60020989915031,85,10
20.296961968449,85,11
10.8659410013535,85,12
12.7951015582712,85,13
13.9827836137682,85,14
21.9837331247031,85,15
13.8912424836829,85,16
14.1866155498865,85,17
3.30035016730133,85,18
4.7508745256357,85,19
10.9695742056732,85,20
13.3928132958383,85,21
-0.140467203346224,85,22
8.55676194140909,85,23
3.74449951999225,85,24
10.0584087975141,85,25
13.173921208974,85,26
7.98468675991636,85,27
2.48900991542957,85,28
17.2930376318779,85,29
15.3839365083028,85,30
15.6545308745927,85,31
11.2124243542562,85,32
13.0555582328643,85,33
17.6318730658502,85,34
-1.14738719705846,85,35
25.4554856131596,85,36
9.35037376593897,85,37
-1.29321238764961,85,38
3.30616463991448,85,39
7.74689530807917,85,40
12.4572673537377,85,41
12.7711115724928,85,42
12.0727084862224,85,43
13.4724140424057,85,44
-11.017273475655,85,45
14.1048038991431,85,46
0.113755157583388,85,47
19.990140215662,85,48
11.3519761235728,85,49
10.5951094988548,85,50
23.0814288199671,85,51
13.6466465841005,85,52
14.1119588843817,85,53
29.4396873232812,85,54
16.6876249086122,85,55
11.2336636373397,85,56
-0.435937858070086,85,57
3.9483418303331,85,58
-35.6963623190352,85,59
8.98663739142398,85,60
